id,title,duration,boxoffice,first_boxoffice,pr_movie,bt_movie,cl_movie,de_movie,pr_box_rank,is_ip,is_sequel,douban_rating,baidu_index,actor,issue_company,manu_company,rating_numbers,comment_numbers,review_numbers,director_1_id,director_1_name,director_1_amount,director_1_boxoffice,director_1_pr_boxrank,director_1_baidu,director_2_id,director_2_name,director_2_amount,director_2_boxoffice,director_2_pr_boxrank,director_2_baidu,actor_1_id,actor_1_name,actor_1_amount,actor_1_boxoffice,actor_1_pr_boxrank,actor_1_baidu,actor_1_fans,actor_2_id,actor_2_name,actor_2_amount,actor_2_boxoffice,actor_2_pr_boxrank,actor_2_baidu,actor_2_fans,scenarist_1_id,scenarist_1_name,scenarist_1_amount,scenarist_1_boxoffice,scenarist_1_pr_boxrank,scenarist_1_baidu,scenarist_2_id,scenarist_2_name,scenarist_2_amount,scenarist_2_boxoffice,scenarist_2_pr_boxrank,scenarist_2_baidu,issue_company_1_id,manu_company_1_id,type,technology,release_date,year,month,day,day_of_week,quarter,week,duration_85,duration_85_140,duration_140,type_list,num_types,genre_剧情,genre_爱情,genre_喜剧,genre_动作,genre_惊悚,genre_悬疑,genre_犯罪,genre_战争,genre_恐怖,genre_纪录片,genre_青春,genre_奇幻,genre_冒险,genre_儿童,genre_传记,genre_古装,genre_励志,genre_亲情,genre_科幻,genre_历史,genre_avg,technology_list,technology_2D,technology_3D,technology_IMAX,year_mean_1000,is_weekend,springfestival,summer,nationalday,newyear,is_star_issue_company,is_star_manu_company
9,卧虎藏龙,120.0,1000.0,66.0,9.43835,1070073.75,0.18665,3.16553,4.29666,0,0,8.1,0.0,周润发 Yun-Fat Chow;;;杨紫琼 Michelle Yeoh;;;章子怡 Ziyi Zhang;;;张震 Zhen Zhang;;;郑佩佩 Pei-pei Cheng;;;李法曾 Fa Zeng Li;;;高西安 Xian Gao;;;李力 Li Li;;;黄素影 Suying Huang;;;李凯 Kai Li;;;徐成林 Cheng Lin Xu;;;林峯 Raymond Lam;;;王文升 Wen Sheng Wang;;;邱心志 Xin-zhi Qiu;;;黄奕 Crystal Huang;;;何润东 Peter Ho;;;蒋勤勤 Qinqin Jiang,";;;华纳兄弟电影公司 Warner Bros Pictures;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;安乐影片有限公司 EDKO Film Co.,Ltd;;; Arthaus Filmverleih;;; Indies Film Distribution;;; Columbia TriStar Films de Argentina;;; Laurenfilm;;; Blackwatch Releasing;;;索尼经典影业公司 Sony Pictures Classics;;; Continental Film;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Video;;; Columbia TriStar Home Video;;; Falcon;;; Fox Network;;; Kinowelt Home Entertainment;;; LK-TEL;;; Yorin;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",";;; Asia Union Film &#38; Entertainment Ltd.;;;中国电影合作制片公司 China Film Co-Production Corporation;;;哥伦比亚电影制作（亚洲）有限公司 Columbia Pictures Film Production Asia;;; Good Machine;;;索尼经典影业公司 Sony Pictures Classics;;; United China Vision;;;纵横国际影视股份有限公司 Zongheng International Film&TV Co,.Ltd",330829.0,54684.0,1267.0,1054421.0,李安,0,0.0,1.62867,3117.0,,,0,0.0,0.0,0.0,1044899.0,周润发,0,0.0,15.90885,12286.0,167.0,1022664.0,杨紫琼,0,0.0,2.72863,2339.0,121.0,1300390.0,王蕙玲,0,0.0,4.40211,0.0,1050276.0,詹姆斯·夏慕斯,0,0.0,0.8893399999999999,0.0,36.0,52.0,武侠/动作,2D,2000-10-18,2000,10,18,2,4,42,False,True,False,"['武侠', '动作']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8904,['2D'],1,0,0,7229,0,False,False,False,False,False,False
18,大腕,100.0,4300.4,0.0,5.52305,603884.625,0.19129,8.60489,4.16426,0,0,7.8,0.0,葛优 You Ge;;;关之琳 Rosamund Kwan;;;唐纳德·萨瑟兰 Donald Sutherland;;;英达 Da Ying;;;保罗·马佐斯基 Paul Mazursky;;;王宝强 Baoqiang Wang;;;陶泽如 Zeru Tao;;;张涵予 Hanyu Zhang,";;; Columbia TriStar Films de Argentina;;; Columbia TriStar Italia;;; Columbia TriStar;;; LK-TEL;;;索尼经典影业公司 Sony Pictures Classics;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;北京太合环球影业投资有限公司 Beijing Taihe Huanqiu Pictures Investment Co.,Ltd",";;;美国哥伦比亚影业公司 Columbia Pictures Industries, Inc.;;; 北京华谊兄弟广告有限公司 Beijing HY.Brothers Advertising Co.,Ltd;;; Taihe Film Investment Co. Ltd.",162692.0,18003.0,113.0,1274255.0,冯小刚,1,2800.0,21.10197,4721.0,,,0,0.0,0.0,0.0,1000905.0,葛优,0,0.0,12.70058,2810.0,0.0,1028064.0,关之琳,0,0.0,0.7070000000000001,0.0,0.0,1326847.0,石康,0,0.0,0.69981,0.0,1274255.0,冯小刚,0,0.0,21.10197,4721.0,41.0,71.0,喜剧,2D,2001-12-21,2001,12,21,4,4,51,False,True,False,['喜剧'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10255,['2D'],1,0,0,3300,1,False,False,False,True,False,False
45,英雄,99.0,25001.0,1800.0,1.5935700000000002,109673.6875,0.18369,3.97865,4.39838,0,0,7.2,0.0,李连杰 Jet Li;;;梁朝伟 Tony Leung;;;张曼玉 Maggie Cheung;;;章子怡 Ziyi Zhang;;;陈道明 Daoming Chen;;;甄子丹 Donnie Yen;;;刘仲元 Zhongyuan Liu;;;郑天庸 Tianyong Zheng;;;常晓阳 Xiaoyang Chang;;;张亚坤 Yakun Zhang;;;马文华 Wenhua Ma;;;徐匡华 Kuanghua Xu;;;王守信 Shouxin Wang;;;黑子 Hei Zi;;;李磊 Lei Li;;;夏斌 Bin Xia;;;彭强 Qiang Peng;;;张毅 Zhang Yi;;;吴汉章 James Hong;;;伊丽莎白·宋 Elizabeth Sung;;;秦焰 Yan Qin,";;;安乐影片有限公司 EDKO Film Co.,Ltd;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;二十世纪福克斯电影公司 20th Century Fox Film Corporation;;; Alliance Atlantis Communications;;; Buena Vista International;;; Columbia TriStar Home Video;;;康斯坦丁影业公司 Constantin Film AG;;; Dutch FilmWorks (DFW);;; Eagle Pictures;;; Gativideo;;; Highlight Film;;; Hollywood Classic Entertainment;;; Medyavizyon;;;米拉麦克斯 Miramax Films;;; Moonlight Films;;; Rialto Film AG;;; United International Pictures (UIP);;;美国环球影业公司 Universal Pictures (Universal Studios Inc. );;;华纳兄弟电影公司 Warner Bros Pictures",";;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;精英娱乐有限公司 Elite Group Enterprises",229610.0,34475.0,613.0,1054398.0,张艺谋,1,506.0,15.896120000000002,4160.0,,,0,0.0,0.0,0.0,1025146.0,李连杰,0,0.0,7.07654,13050.0,746.0,1115918.0,梁朝伟,0,0.0,12.01012,6685.0,217.0,1300385.0,王斌,0,0.0,1.95659,523.0,1303513.0,李冯,0,0.0,1.15286,0.0,38.0,12.0,武侠/动作,2D,2002-12-24,2002,12,24,1,4,52,False,True,False,"['武侠', '动作']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8904,['2D'],1,0,0,9600,0,False,False,False,True,False,False
49,和你在一起,116.0,1200.0,6.0,1.82509,143479.32812,0.1799,3.88802,0.91316,0,0,7.8,0.0,唐韵 Yun Tang;;;刘佩琦 Liu Peiqi;;;陈红 Hong Chen;;;王志文 Zhiwen Wang;;;张琴 Qing Zhang;;;金慧莉 Hye-ri Kim;;;李传韵 Chuan-Yuan Li;;;唐如韫 Ru-Yun Tang;;;程前 Qian Cheng;;;陈凯歌 Kaige Chen,;;; A-Film Distribution;;; A-Film Home Entertainment;;; CDI Films;;; Cine Qua Non Films;;; EuropaCorp. Distribution;;; Future Film;;; Geneon Entertainment;;; Italian International Film;;; Madman Entertainment;;;米高梅电影发行公司 Metro-Goldwyn-Mayer Distributing Corporation (MGM);;; Momentum Pictures;;; Moonstone Entertainment;;; Tobis StudioCanal;;; Transeuropa Video Entertainment (TVE);;;联美电影公司 United Artists;;;博纳影业集团股份有限公司 Bona Film Group,;;;21世纪盛凯影业 21 Century ShengKai Pictures;;; 21st Century Hero Film Investments;;; Big Bang Creative;;;中国电影集团公司 China Film Group Corporation;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;; Chinarunn Entertainment Inc.,39044.0,5469.0,127.0,1023040.0,陈凯歌,0,0.0,14.27355,3129.0,,,0,0.0,0.0,0.0,1317506.0,唐韵,0,0.0,0.30222,0.0,0.0,1274585.0,刘佩琦,1,200.0,3.06523,841.0,0.0,1275139.0,薛晓路,0,0.0,11.99263,200.0,1023040.0,陈凯歌,0,0.0,14.27355,3129.0,138.0,152.0,剧情,2D,2002-09-20,2002,9,20,4,3,38,False,True,False,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731,['2D'],1,0,0,9600,1,False,False,False,False,False,False
65,大块头有大智慧,92.0,1401.5,1021.0,1.47931,62468.14062000001,0.18164,3.42265,0.61139,0,0,6.5,0.0,刘德华 Andy Lau;;;张柏芝 Cecilia Cheung;;;张兆辉 Siu-fai Cheung;;;秦煌 Wong Chun;;;汤宝如 Karen Tong;;;于文仲 Wen Zhong Yu;;;黄志伟 Chi Wai Wong;;;黄华和 Wah Wo Wong;;;张珊萌 cacy,";;;中国星电影有限公司 China Star Film Co.,Ltd;;;  Long Shong Entertainment Group;;;星美传媒集团有限公司 Stellar Megamedia Group Co., LTD;;;星美（北京）影业有限公司 Stellar Mega Films Limited",";;;中国星电影有限公司 China Star Film Co.,Ltd;;;  One Hundred Years of Film Company;;;银河映像（香港）有限公司 Milky Way Image（Hongkong)）Co.,Ltd;;;星美传媒集团有限公司 Stellar Megamedia Group Co., LTD",64229.0,8618.0,165.0,1160186.0,杜琪峰,0,0.0,4.53315,1372.0,1017843.0,韦家辉,0,0.0,3.41971,210.0,1054424.0,刘德华,1,2300.0,20.81968,29383.0,0.0,1003495.0,张柏芝,2,2300.0,2.81056,25753.0,1308.0,1017843.0,韦家辉,0,0.0,3.41971,210.0,1161310.0,游乃海,0,0.0,1.93448,0.0,101.0,101.0,动作,2D,2003-09-26,2003,9,26,4,3,39,False,True,False,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17809,['2D'],1,0,0,3168,1,False,False,True,False,False,False
66,天地英雄,114.0,4101.7,27.0,1.59627,107008.27344,0.18348,3.3217,1.91398,0,0,6.5,0.0,姜文 Wen Jiang;;;中井贵一 Kiichi Nakai;;;王学圻 Xueqi Wang;;;赵薇 Vicki Zhao;;;哈斯巴根 Bagen Hasi;;;李海滨 Haibin Li;;;周韵 Yun Zhou;;;杨海泉 Haiquan Yang,";;; Columbia TriStar Film;;; Columbia TriStar Films de Argentina;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Video;;; Columbia TriStar;;; LK-TEL;;; Mongrel Media;;; Nelonen;;;索尼经典影业公司 Sony Pictures Classics;;;索尼电影娱乐公司 Sony Pictures Entertainment;;; Universal Pictures Finland Oy;;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD;;;中国电影集团公司 China Film Group Corporation",";;;哥伦比亚电影制作（亚洲）有限公司 Columbia Pictures Film Production Asia;;; Taihe Film Investment Co. Ltd.;;;西安电影制片厂有限公司 Xian Film Studio;;;中国电影合作制片公司 China Film Co-Production Corporation;;;西部电影集团有限公司 Western Movie Group;;;华谊兄弟太合影视投资有限公司 Huayi Brothers&Taihe Entertainment  Co.,Ltd",27423.0,3661.0,65.0,1275272.0,何平,0,0.0,1.11212,445.0,,,0,0.0,0.0,0.0,1021999.0,姜文,2,1303.0,12.76354,4794.0,0.0,1163713.0,赵薇,1,400.0,10.4597,21500.0,8580.0,1275272.0,何平,0,0.0,1.11212,445.0,1317569.0,张锐,0,0.0,0.45282,0.0,189.0,54.0,动作,2D,2003-09-03,2003,9,3,2,3,36,False,True,False,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17809,['2D'],1,0,0,3168,0,False,False,False,False,False,False
68,无间道3,118.0,3601.0,1665.0,2.40413,210853.6875,0.19387,12.54256,0.8376899999999999,0,1,7.9,0.0,梁朝伟 Tony Leung;;;刘德华 Andy Lau;;;黎明 Leon Lai;;;陈道明 Daoming Chen;;;陈慧琳 Kelly Chen;;;黄秋生 Anthony Wong;;;曾志伟 Eric Tsang;;;郑秀文 Sammi Cheng;;;刘嘉玲 Carina Lau;;;陈冠希 Edison Chan;;;余文乐 Shawn Yue;;;杜汶泽 Chapman To;;;李子雄 Waise Lee;;;林家栋 Ka Tung Lam;;;吴廷烨 Berg Ng;;;尹扬明 Yeung Ming Wan;;;利沙华 Courtney Wu;;;欧轩伟 Au Hin Wai;;;何家驹 Ka-Kui Ho;;;尹志强 Wan Chi Keung,;;; A-Film Home Entertainment;;; Bright Angel Distribution;;; Cinema Mondo;;; Comstock;;; Dragon Dynasty;;; Galileo Medien AG;;; MTV Netherlands;;;寰亚影视发行（香港）有限公司 Media Asia Distribution;;; Mega Star Video Distribution;;; Pan Vision Oy;;; Tartan Video;;;博纳影业集团股份有限公司 Bona Film Group,";;;寰亚电影制作有限公司 Media Asia Film Production Co., Ltd.;;;天津电影制片厂 Tianjin Film Studio;;;东方神龙影业有限公司 East Dragon Pictures  Co.,Ltd;;; CMC Group;;; Basic Pictures;;;中国电影合作制片公司 China Film Co-Production Corporation",235073.0,27168.0,222.0,1106979.0,刘伟强,2,1501.0,12.20493,717.0,1126158.0,麦兆辉,1,801.0,8.75632,252.0,1115918.0,梁朝伟,1,25001.0,12.01012,6685.0,217.0,1054424.0,刘德华,2,3702.0,20.81968,29383.0,0.0,1126158.0,麦兆辉,1,801.0,8.75632,252.0,1014716.0,庄文强,2,3101.0,10.8479,195.0,139.0,167.0,警匪,2D,2003-12-11,2003,12,11,3,4,50,False,True,False,['警匪'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,3168,0,False,False,False,True,False,True
78,周渔的火车,93.0,2000.0,2.0,0.8240799999999999,15140.72363,0.18053,2.37356,0.38194,1,0,6.6,0.0,巩俐 Li Gong;;;梁家辉 Tony Leung Ka Fai;;;孙红雷 Honglei Sun;;;李志雄 Zhixiong Li;;;孙周 Zhou Sun,";;; Columbia TriStar Films de Argentina;;; Good Machine International;;; Herald Film Company;;; LK-TEL;;; Mongrel Media;;; Paradise Group;;; RCV Film Distribution;;;索尼经典影业公司 Sony Pictures Classics;;; V&#233;rtigo Films;;;北京联盟影业投资有限公司 Beijing Union Film Investment Co.,LTD",";;;中国电影合作制片公司 China Film Co-Production Corporation;;;中国电影集团公司 China Film Group Corporation;;; Glory Top Properties;;;寰亚电影制作有限公司 Media Asia Film Production Co., Ltd.;;; Senjiu Film",25101.0,4078.0,182.0,1298649.0,孙周,1,0.0,2.44006,246.0,,,0,0.0,0.0,0.0,1035641.0,巩俐,1,0.0,2.77312,6495.0,0.0,1118167.0,梁家辉,1,800.0,8.59269,3588.0,0.0,,,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,41.0,53.0,爱情,2D,2003-02-13,2003,2,13,3,1,7,False,True,False,['爱情'],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5737,['2D'],1,0,0,3168,0,True,False,False,False,False,False
103,天下无贼,113.0,12000.5,185.0,2.4282,361048.53125,0.1992,12.68827,2.97166,1,0,7.8,0.0,刘德华 Andy Lau;;;刘若英 Rene Liu;;;葛优 You Ge;;;王宝强 Baoqiang Wang;;;李冰冰 Bingbing Li;;;傅彪 Biao Fu;;;林家栋 Ka Tung Lam;;;徐帆 Fan Xu;;;尤勇智 Yongzhi You;;;张涵予 Hanyu Zhang;;;钟萍 Ping Zhong,";;; Amuse Soft Entertainment;;;中国电影集团公司 China Film Group Corporation;;; Cinema Treasure;;; General Solutions;;; Mega Star Video Distribution;;; Shaw Organisation;;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD;;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd",";;;北京太合环球影业投资有限公司 Beijing Taihe Huanqiu Pictures Investment Co.,Ltd;;;寰亚电影制作有限公司 Media Asia Film Production Co., Ltd.;;;华谊兄弟太合影视投资有限公司 Huayi Brothers&Taihe Entertainment  Co.,Ltd;;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",385334.0,38024.0,450.0,1274255.0,冯小刚,3,12709.0,21.10197,4721.0,,,0,0.0,0.0,0.0,1054424.0,刘德华,4,22663.0,20.81968,29383.0,0.0,1041007.0,刘若英,0,0.0,3.74997,6210.0,2461.0,1342747.0,王刚,0,0.0,0.75376,0.0,1314232.0,林黎胜,0,0.0,0.84921,0.0,283.0,70.0,剧情,2D,2004-12-09,2004,12,9,3,4,50,False,True,False,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731,['2D'],1,0,0,7346,0,False,False,False,True,False,False
104,十面埋伏,119.0,15360.2,696.0,1.94612,159702.07812,0.18437,3.38674,3.1718900000000003,0,0,5.9,0.0,金城武 Takeshi Kaneshiro;;;刘德华 Andy Lau;;;章子怡 Ziyi Zhang;;;宋丹丹 Dandan Song;;;张澍 Shu Zhang,";;;焦点电影公司 Jiao Dian Dian Yingcompany;;; Alfa Films;;; BIM Distribuzione;;; Bazuca Films;;; Canvas;;; Columbia TriStar Film Distributors International;;;康斯坦丁影业公司 Constantin Film AG;;; Constantin-Filmverleih;;; Filmcoopi Z&#252;rich;;; Highlight Film;;; Hollywood Classic Entertainment;;; LK-TEL V&#237;deo;;; Mongrel Media;;; Nederlandse Programma Stichting (NPS);;; Odeon S.A.;;; Path&#233; Distribution;;; RCV Film Distribution;;; RCV Home Entertainment;;;索尼经典影业公司 Sony Pictures Classics;;; Sony Pictures Home Entertainment;;; Sony Pictures Home Entertainment;;; Transeuropa Video Entertainment (TVE);;; United International Pictures (UIP);;; United International Pictures (UIP);;;华纳兄弟电影公司 Warner Bros Pictures;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd",";;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;中国电影合作制片公司 China Film Co-Production Corporation;;;安乐影片有限公司 EDKO Film Co.,Ltd;;;精英娱乐有限公司 Elite Group Enterprises;;;张艺谋工作室 Zhangyimou Studio",164786.0,21365.0,318.0,1054398.0,张艺谋,2,25507.0,15.896120000000002,4160.0,,,0,0.0,0.0,0.0,1041014.0,章子怡,6,26824.0,9.60573,15440.0,2887.0,1054424.0,刘德华,3,7303.0,20.81968,29383.0,0.0,1303513.0,李冯,1,25001.0,1.15286,0.0,1300385.0,王斌,1,25001.0,1.95659,523.0,287.0,12.0,动作,2D,2004-07-16,2004,7,16,4,3,29,False,True,False,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17809,['2D'],1,0,0,7346,1,False,True,False,False,False,False
