id,title,duration,technology,type,boxoffice,first_boxoffice,actor,issue_company,manu_company,release_date,year,month,day,day_of_week,quarter,week,type_list,num_types,genre_剧情,genre_爱情,genre_喜剧,genre_动作,genre_惊悚,genre_动画,genre_悬疑,genre_冒险,genre_犯罪,genre_战争,genre_恐怖,genre_奇幻,genre_儿童,genre_纪录片,genre_青春,technology_list,technology_2D,technology_3D,technology_IMAX,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,is_weekend,springfestival,summer,nationalday
1,上善若水,95.0,2D,剧情,502.8,,胡红城 Hongcheng Hu;;;端木新卉 Xinhui Duanmu;;;王虎城 Hucheng Wang;;;宋珂欣 Kexin Song,,,2000-12-02,2000,12,2,5,4,48,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
2,生死抉择,162.0,2D,剧情,11659.0,,王庆祥 Qingxiang Wang;;;廖京生 Jingsheng Liao;;;左翎 Ling Zuo;;;王振荣 Zhenrong Wang;;;雷明 Ming Lei;;;张弘 Hong Zhang,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor,;;;上海电影制片厂 Shanghai Film Studio,2000-06-21,2000,6,21,2,2,25,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
3,幸福时光,102.0,2D,喜剧,505.7,3.0,赵本山 Benshan Zhao;;;董洁 Jie Dong;;;董立范 Lifan Dong;;;傅彪 Biao Fu;;;李雪健 Xuejian Li;;;牛犇 Ben Niu;;;张洪杰 Hongjie Zhang;;;孙红雷 Honglei Sun,";;;二十世纪福斯意大利分公司 20th Century Fox Italia;;;二十世纪福斯荷兰分公司 20th Century Fox Netherlands;;;二十世纪福斯德国分公司 20th Century Fox of Germany;;; Diaphana Films;;; Fox-Warner;;; Gemini Film;;; Mongrel Media;;;索尼经典影业公司 Sony Pictures Classics;;;20世纪福斯家庭娱乐电影公司 20th Century Fox Home Entertainment;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd",;;;广西电影制片厂 Guangxi Film Studio;;; Xin Huamian Film;;; Zhuhai Zhenrong Co.,2000-12-31,2000,12,31,6,4,52,['喜剧'],1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
4,走出硝烟的女神,95.0,2D,剧情,1.8,,宋春丽 Chunli Song;;;吴京安 Jingan Wu;;;剧雪 Xue Ju;;;王茜华 Qianhua Wang;;;施京明 Jingming Shi,,,2000-07-26,2000,7,26,2,3,30,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False
5,过年回家,90.0,2D,剧情,0.4,,刘琳 Lin Liu;;;李冰冰 Bingbing Li;;;李野萍 Yeding Li;;;梁松 Song Liang;;;李芸 Yun Li,";;; Kino Video;;; Istituto Luce;;; K2 Entertainment;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",;;; Fondazione MonteCinemaVerit&#224; Locarno;;; Fabrica;;; Keetman Limited;;; Rai Cinemafiction;;; The Swiss Agency for Development &#38; Cooperation;;; United Colors of Benetton,2000-09-28,2000,9,28,3,3,39,['剧情'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
6,紧急迫降,114.0,2D,动作,500.0,,邵兵 Bing Shao;;;尤勇智 Yongzhi You;;;徐帆 Fan Xu;;;池华琼 Huaqiong Chi;;;张康尔 Kanger Zhang;;;魏宗万 Zongwan Wei;;;白穆 Mu Bai,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor,;;;上海电影制片厂 Shanghai Film Studio,2000-01-07,2000,1,7,4,1,1,['动作'],1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
7,马可波罗回香都,82.0,2D,动画,200.2,,尼古拉斯·冈萨雷斯 Nicholas Gonzalez (voice),;;; KOAN;;;中国电影集团公司 China Film Group Corporation,;;; The Tooniversal Company,2000-06-29,2000,6,29,3,2,26,['动画'],1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
8,西洋镜,116.0,2D,爱情,200.1,1.0,杰瑞德·哈里斯 Jared Harris;;;夏雨 Yu Xia;;;刘佩琦 Liu Peiqi;;;吕丽萍 Liping Lu;;;王景明 Jingming Wang;;;李玉生 Yusheng Li;;;慕岐 Qi Mu;;;方青卓 Qingzhuo Fang;;;李滨 Bin Li,";;; GAGA Communications;;;索尼经典影业公司 Sony Pictures Classics;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",;;;北京电影制片厂 Beijing Film Studio;;; C &#38; A Productions;;; Central Motion Pictures Corporation;;; China Film;;; Filmstiftung Nordrhein-Westfalen;;; Post Production Playground;;; Road Movies Vierte Produktionen;;; Schulberg Productions;;; Taiwan Central Motion Picture Corporation,2000-03-02,2000,3,2,3,1,9,['爱情'],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
9,卧虎藏龙,120.0,2D,武侠/动作,1000.0,66.0,周润发 Yun-Fat Chow;;;杨紫琼 Michelle Yeoh;;;章子怡 Ziyi Zhang;;;张震 Zhen Zhang;;;郑佩佩 Pei-pei Cheng;;;李法曾 Fa Zeng Li;;;高西安 Xian Gao;;;李力 Li Li;;;黄素影 Suying Huang;;;李凯 Kai Li;;;徐成林 Cheng Lin Xu;;;林峯 Raymond Lam;;;王文升 Wen Sheng Wang;;;邱心志 Xin-zhi Qiu;;;黄奕 Crystal Huang;;;何润东 Peter Ho;;;蒋勤勤 Qinqin Jiang,";;;华纳兄弟电影公司 Warner Bros Pictures;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;安乐影片有限公司 EDKO Film Co.,Ltd;;; Arthaus Filmverleih;;; Indies Film Distribution;;; Columbia TriStar Films de Argentina;;; Laurenfilm;;; Blackwatch Releasing;;;索尼经典影业公司 Sony Pictures Classics;;; Continental Film;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Video;;; Columbia TriStar Home Video;;; Falcon;;; Fox Network;;; Kinowelt Home Entertainment;;; LK-TEL;;; Yorin;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",";;; Asia Union Film &#38; Entertainment Ltd.;;;中国电影合作制片公司 China Film Co-Production Corporation;;;哥伦比亚电影制作（亚洲）有限公司 Columbia Pictures Film Production Asia;;; Good Machine;;;索尼经典影业公司 Sony Pictures Classics;;; United China Vision;;;纵横国际影视股份有限公司 Zongheng International Film&TV Co,.Ltd",2000-10-18,2000,10,18,2,4,42,"['武侠', '动作']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False
10,一声叹息,111.0,2D,爱情/剧情,2800.0,,张国立 Guoli Zhang;;;刘蓓 Bei Liu;;;徐帆 Fan Xu;;;傅彪 Biao Fu,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd",;;; Beijing Films Production Inc.,2000-09-15,2000,9,15,4,3,37,"['爱情', '剧情']",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['2D'],1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False
